Ibrahim Dincer,University of Ontario Institute of Technology,uoit.ca,87261,Sustainable Energy | Exergy | Integrated Systems and Multigeneration | Energy Storage | Hydrogen and Fuel Cells,https://scholar.google.com/citations?hl=en&user=mLx9ZO0AAAAJ,Canada,Ontario Tech University
Marc A. Rosen,"Professor, University of Ontario Institute of Technology",,50583,Cogeneration | District energy | Efficiency improvement | Thermal energy storage | Exergy analysis,https://scholar.google.com/citations?hl=en&user=gWt3wuUAAAAJ,Canada,Ontario Tech University
Pierre Côté,"Professor and Canada Research Chair, Faculty of Health Sciences, Ontario Tech University",ontariotechu.ca,30382,Epidemiology | Disability | Neck Pain | Back Pain | Rehabilitation,https://scholar.google.com/citations?hl=en&user=_1qIhmsAAAAJ,Canada,Ontario Tech University
Alexander Serenko,"Faculty of Business and IT, University of Ontario Institute of Technology, Canada",uoit.ca,11608,scientometrics | knowledge management | technology addiction,https://scholar.google.com/citations?hl=en&user=JsAVCxwAAAAJ,Canada,Ontario Tech University
Vijay K. Sood,"Chair ECSE Dept., Ontario Tech University",ontariotechu.ca,11160,Power Systems,https://scholar.google.com/citations?hl=en&user=3kp505oAAAAJ,Canada,Ontario Tech University
Tarlochan Sidhu,University of Ontario Institute of Technology,uoit.ca,10674,Smart grid | Power system protection and automation | renewable energy systems,https://scholar.google.com/citations?hl=en&user=PZ1YMWUAAAAJ,Canada,Ontario Tech University
Daniel Hoornweg,"Professor, Ontario Tech University",uoit.ca,9178,urban | energy | climate change | waste management | sustainability,https://scholar.google.com/citations?hl=en&user=tMSzKnIAAAAJ,Canada,Ontario Tech University
Robin Kay,Ontario Tech University,uoit.ca,8087,blended learning | elearning | mobile learning | teacher education | technology-based learning,https://scholar.google.com/citations?hl=en&user=F_C4-JUAAAAJ,Canada,Ontario Tech University
Adam Dubrowski,Ontario Tech University,ontariotechu.net,7521,Simulation in Healthcare,https://scholar.google.com/citations?hl=en&user=u2qbmEwAAAAJ,Canada,Ontario Tech University
Shahram Shahbazpanahi,University of Ontario Institute of Technology (Ontario Tech University),uoit.ca,7519,Wireless Communications | Signal Processing,https://scholar.google.com/citations?hl=en&user=-kZ8x08AAAAJ,Canada,Ontario Tech University
Anne Taylor-Vaisey,"… Associate at Institute for Disability and Rehabilitation Research, Ontario Tech University",cmcc.ca,7011,Librarianship | Chiropractic | Systematic  Review Literature Searching | Practice Guidelines | Web Development,https://scholar.google.com/citations?hl=en&user=-tdd8EgAAAAJ,Canada,Ontario Tech University
Hossam A. Kishawy,Ontario Tech University,ontariotechu.ca,6232,Manufacturing Engineering | Metal cutting | Machining | Engineering Design,https://scholar.google.com/citations?hl=en&user=Fmrt24gAAAAJ,Canada,Ontario Tech University
Dario Bonetta,Ontario Tech University,,6080,,https://scholar.google.com/citations?hl=en&user=3jXtV_8AAAAJ,Canada,Ontario Tech University
"David J. Bentley, PhD",Ontario technical university,,6077,exercise physiology | medical education,https://scholar.google.com/citations?hl=en&user=7Yr924cAAAAJ,Canada,Ontario Tech University
Janette Hughes,University of Ontario Institute of Technology,uoit.ca,5997,Digital literacies | maker education,https://scholar.google.com/citations?hl=en&user=BeI-ecIAAAAJ,Canada,Ontario Tech University
Liqun Cao 曹立群,"Professor of Sociology and Criminology, Ontario Tech University",,5876,comparative studies | criminology | policing | sociology,https://scholar.google.com/citations?hl=en&user=pEsG3RgAAAAJ,Canada,Ontario Tech University
Patrick CK Hung,Ontario Tech University,ontariotechu.ca,5492,social robots | smart toys | services computing | workflow | security and privacy,https://scholar.google.com/citations?hl=en&user=slVFuNIAAAAJ,Canada,Ontario Tech University
Ebrahim Esmailzadeh,"Professor of Mechanical Engineering, University of Ontario Institute of Technology",uoit.ca,5408,Nonlinear Vibration | Mechanical Vibration | Nonlinear Dynamic Systems | Active Vibration Control | Vehicle System Dynamics,https://scholar.google.com/citations?hl=en&user=n-JA7sAAAAAJ,Canada,Ontario Tech University
Robert Bailey,"Professor, Ontario Tech University",ontariotechu.net,5010,aquatic ecology | freshwater ecosystem bioassessment,https://scholar.google.com/citations?hl=en&user=JAQiEmEAAAAJ,Canada,Ontario Tech University
Min Dong,Ontario Tech University,ontariotechu.ca,4741,Signal Processing | Wireless Communications,https://scholar.google.com/citations?hl=en&user=353fTTcAAAAJ,Canada,Ontario Tech University
